fiscal_year,period,quarter,begin_date,end_date,weeks
2030,11,4,2030-11-10,2030-12-07,4
2030,12,4,2030-12-08,2031-01-04,4
2030,13,4,2031-01-05,2031-02-01,4
2031,1,1,2031-02-02,2031-03-01,4
2031,2,1,2031-03-02,2031-03-29,4
2031,3,1,2031-03-30,2031-04-26,4
2031,4,1,2031-04-27,2031-05-24,4
2031,5,2,2031-05-25,2031-06-21,4
2031,6,2,2031-06-22,2031-07-19,4
2031,7,2,2031-07-20,2031-08-16,4
2031,8,3,2031-08-17,2031-09-13,4
2031,9,3,2031-09-14,2031-10-11,4
2031,10,3,2031-10-12,2031-11-08,4
2031,11,4,2031-11-09,2031-12-06,4
2031,12,4,2031-12-07,2032-01-03,4
2031,13,4,2032-01-04,2032-01-31,4
2032,1,1,2032-02-01,2032-02-28,4
2032,2,1,2032-02-29,2032-03-27,4
2032,3,1,2032-03-28,2032-04-24,4
2032,4,1,2032-04-25,2032-05-22,4
2032,5,2,2032-05-23,2032-06-19,4
2032,6,2,2032-06-20,2032-07-17,4
2032,7,2,2032-07-18,2032-08-14,4
2032,8,3,2032-08-15,2032-09-11,4
2032,9,3,2032-09-12,2032-10-09,4
2032,10,3,2032-10-10,2032-11-06,4
2032,11,4,2032-11-07,2032-12-04,4
2032,12,4,2032-12-05,2033-01-01,4
2032,13,4,2033-01-02,2033-01-29,4
2033,1,1,2033-01-30,2033-02-26,4
2033,2,1,2033-02-27,2033-03-26,4
2033,3,1,2033-03-27,2033-04-23,4
2033,4,1,2033-04-24,2033-05-21,4
2033,5,2,2033-05-22,2033-06-18,4
2033,6,2,2033-06-19,2033-07-16,4
2033,7,2,2033-07-17,2033-08-13,4
2033,8,3,2033-08-14,2033-09-10,4
2033,9,3,2033-09-11,2033-10-08,4
2033,10,3,2033-10-09,2033-11-05,4
2033,11,4,2033-11-06,2033-12-03,4
2033,12,4,2033-12-04,2033-12-31,4
2033,13,4,2034-01-01,2034-01-28,4
2034,1,1,2034-01-29,2034-02-25,4
2034,2,1,2034-02-26,2034-03-25,4
2034,3,1,2034-03-26,2034-04-22,4
2034,4,1,2034-04-23,2034-05-20,4
2034,5,2,2034-05-21,2034-06-17,4
2034,6,2,2034-06-18,2034-07-15,4
2034,7,2,2034-07-16,2034-08-12,4
2034,8,3,2034-08-13,2034-09-09,4
2034,9,3,2034-09-10,2034-10-07,4
2034,10,3,2034-10-08,2034-11-04,4
2034,11,4,2034-11-05,2034-12-02,4
2034,12,4,2034-12-03,2034-12-30,4
2034,13,4,2034-12-31,2035-02-03,5
2035,1,1,2035-02-04,2035-03-03,4
2035,2,1,2035-03-04,2035-03-31,4
2035,3,1,2035-04-01,2035-04-28,4
2035,4,1,2035-04-29,2035-05-26,4
2035,5,2,2035-05-27,2035-06-23,4
2035,6,2,2035-06-24,2035-07-21,4
2035,7,2,2035-07-22,2035-08-18,4
2035,8,3,2035-08-19,2035-09-15,4
2035,9,3,2035-09-16,2035-10-13,4
2035,10,3,2035-10-14,2035-11-10,4
2035,11,4,2035-11-11,2035-12-08,4
2035,12,4,2035-12-09,2036-01-05,4
2035,13,4,2036-01-06,2036-02-02,4
2036,1,1,2036-02-03,2036-03-01,4
2036,2,1,2036-03-02,2036-03-29,4
2036,3,1,2036-03-30,2036-04-26,4
2036,4,1,2036-04-27,2036-05-24,4
2036,5,2,2036-05-25,2036-06-21,4
2036,6,2,2036-06-22,2036-07-19,4
2036,7,2,2036-07-20,2036-08-16,4
2036,8,3,2036-08-17,2036-09-13,4
2036,9,3,2036-09-14,2036-10-11,4
2036,10,3,2036-10-12,2036-11-08,4
2036,11,4,2036-11-09,2036-12-06,4
2036,12,4,2036-12-07,2037-01-03,4
2036,13,4,2037-01-04,2037-01-31,4
